Speed,Altitude,Distance,Direction,Acceleration,RadarSignature,TrajectoryAngle,ObjectType,ThreatLevel
1496,878,65,Towards,16,8,89,Missile,High
121,148,66,Away,1,1,2,Drone,Unknown
1595,10536,64,Towards,18,4,87,Missile,High
2378,6631,52,Away,2,5,36,Unknown,Unknown
97,495,62,Away,2,2,4,Drone,Unknown
107,445,37,Away,1,2,27,Drone,Unknown
1834,12695,41,Away,12,9,46,Unknown,Unknown
2001,1051,69,Away,14,5,87,Missile,Unknown
892,14836,68,Towards,8,10,40,Fighter,Medium
297,2461,47,Away,5,7,24,Helicopter,Medium
1583,1783,17,Towards,16,8,89,Missile,Critical
1054,10714,45,Towards,11,10,59,Fighter,Critical
2369,9338,10,Towards,6,4,6,Unknown,Unknown
1178,13282,89,Away,12,7,66,Fighter,Medium
1931,10236,63,Towards,11,7,87,Missile,High
143,436,97,Towards,4,1,27,Drone,Low
980,8829,86,Towards,8,7,60,Fighter,High
776,8977,85,Towards,9,7,36,Fighter,Medium
2253,10294,95,Away,13,8,78,Missile,Unknown
927,6869,28,Towards,10,10,25,Unknown,Unknown
1293,4613,81,Away,19,2,59,Unknown,Unknown
2372,9789,28,Away,9,7,38,Unknown,Unknown
736,12073,23,Away,10,9,49,Fighter,Medium
565,10610,71,Towards,13,8,35,Unknown,Unknown
130,169,38,Towards,3,1,27,Drone,Low
737,1517,96,Away,12,4,37,Unknown,Unknown
130,173,47,Away,4,2,0,Drone,Unknown
1849,3823,41,Away,11,1,45,Unknown,Unknown
1093,11018,48,Away,7,9,66,Fighter,Medium
666,14768,19,Towards,11,7,78,Unknown,Unknown
1052,12712,42,Towards,9,7,47,Fighter,Critical
1039,5088,67,Away,10,3,75,Unknown,Unknown
1566,1713,25,Towards,14,5,87,Missile,Critical
2166,2654,100,Towards,8,8,38,Unknown,Unknown
791,13433,36,Away,12,9,39,Fighter,Medium
81,158,38,Away,4,2,18,Drone,Unknown
893,12636,60,Away,8,10,64,Fighter,Medium
208,802,17,Away,2,8,12,Helicopter,Medium
888,9563,16,Towards,12,10,31,Fighter,Medium
195,2702,16,Away,4,7,20,Helicopter,Medium
792,9292,93,Away,12,9,34,Fighter,Medium
1256,11085,93,Towards,12,6,17,Unknown,Unknown
172,2122,46,Away,5,8,40,Helicopter,Medium
766,13467,92,Away,9,10,51,Fighter,Medium
210,1545,6,Towards,2,6,37,Helicopter,Medium
264,2498,26,Away,2,6,25,Helicopter,Medium
1114,9806,37,Away,12,7,38,Fighter,Medium
1755,1199,96,Away,14,6,84,Missile,Unknown
856,12210,9,Away,10,7,50,Fighter,Medium
2300,1288,76,Away,5,5,65,Unknown,Unknown
927,11253,80,Away,12,10,32,Fighter,Medium
1273,9426,14,Towards,16,5,78,Missile,Critical
1370,8025,56,Away,17,5,73,Missile,Unknown
1057,12197,42,Towards,12,7,33,Fighter,Critical
716,11710,11,Away,9,8,62,Fighter,Medium
57,281,48,Away,2,2,6,Drone,Unknown
1641,4581,76,Away,13,7,77,Missile,Unknown
1087,9986,27,Away,9,10,30,Fighter,Medium
1008,9041,16,Towards,6,8,47,Fighter,Critical
947,13473,8,Away,9,9,68,Fighter,Medium
136,449,23,Towards,3,3,22,Drone,Low
743,8383,80,Towards,7,7,67,Fighter,Medium
116,222,43,Towards,4,3,0,Drone,Low
1695,6419,65,Towards,15,5,83,Missile,High
1111,11761,98,Away,7,9,34,Fighter,Medium
1630,7760,55,Towards,3,10,24,Unknown,Unknown
119,448,15,Away,3,1,4,Drone,Unknown
717,14749,13,Away,7,8,70,Fighter,Medium
1749,1356,56,Away,12,5,84,Missile,Unknown
2321,9135,16,Away,19,7,88,Missile,Unknown
760,9189,24,Towards,8,10,42,Fighter,Medium
246,2631,22,Towards,4,5,14,Helicopter,Medium
217,2859,93,Towards,5,8,32,Helicopter,Medium
